,This is public NIH award data requested using the NIH RePORTER API on 3/13/25. ,,
,appl_id,project_serial_num,fiscal_year
749,10993737,CA282424,2024
750,11105412,CA282149,2024
751,11058560,CA282424,2024
752,10774430,CA285519,2023
753,11061676,CA276846,2024
754,10931686,CA279457,2024
755,10931709,CA278787,2024
756,10931503,CA283068,2024
757,10931324,CA276846,2024
758,10931320,CA265827,2024
759,10931748,CA275762,2024
760,10931673,CA285308,2024
761,10931683,CA277037,2024
762,10566591,CA276846,2023
763,10734393,CA276765,2023
764,10803898,CA277037,2023
765,10810184,CA281098,2023
766,10826488,CA287772,2023
767,10718057,CA282439,2023
768,10711615,CA281784,2023
769,10715478,CA282149,2023
770,10715758,CA282339,2023
771,10792062,CA278787,2023
772,10800468,CA278961,2023
773,10802712,CA278833,2023
774,10788983,CA286717,2023
775,10754017,CA284740,2023
776,10733645,CA275762,2023
777,10735785,CA269295,2023
778,10657036,CA274484,2023
779,10719777,CA282725,2023
780,10709358,CA281727,2023
781,10931621,CA269295,2024
782,10931425,CA282339,2024
783,10931375,CA281784,2024
784,10931352,CA274484,2024
785,10931663,CA282439,2024
786,10931600,CA287772,2024
787,10931430,CA281752,2024
788,10931638,CA280056,2024
789,10931628,CA282424,2024
790,10931469,CA276765,2024
791,10931436,CA282149,2024
792,10930922,CA281286,2024
793,10930903,CA278056,2024
794,10682257,CA281286,2023
795,10930836,CA275078,2024
796,10930887,CA275005,2024
797,10930899,CA284595,2024
798,10734197,CA278056,2023
799,10753139,CA275005,2023
800,10752188,CA284595,2023
801,10677899,CA275078,2023
802,10659602,CA272702,2023
803,11065578,CA272702,2024
804,10929975,CA272702,2024
805,10717766,CA282451,2023
806,10714336,CA281862,2023
807,10929491,CA282889,2024
808,10929523,CA282451,2024
809,10719909,CA282889,2023
810,10929397,CA281862,2024
811,10827690,CA264971,2023
812,10712074,CA281959,2023
813,10928716,CA281959,2024
814,10928185,CA285198,2024
815,10928191,CA276653,2024
816,10928170,CA276392,2024
817,10762863,CA285198,2023
818,10737165,CA276392,2023
819,10737379,CA276653,2023
820,10927448,CA276035,2024
821,10583911,CA270248,2023
822,10927355,CA276482,2024
823,10735662,CA276482,2023
824,10734689,CA276035,2023
825,10927202,CA270248,2024
826,10925307,CA284554,2024
827,11081104,CA276594,2024
828,10753890,CA284554,2023
829,11179732,CA276594,2024
830,10734422,CA276594,2023
831,10923978,CA276955,2024
832,10923796,CA279959,2024
833,10923948,CA275864,2024
834,10923797,CA270025,2024
835,10734702,CA276955,2023
836,10586444,CA270025,2023
837,10733566,CA275864,2023
